AIRPORT,DISPLAY_AIRPORT_NAME,DISPLAY_AIRPORT_CITY_NAME_FULL,AIRPORT_COUNTRY_NAME,LATITUDE,LONGITUDE
01A,Afognak Lake Airport,"Afognak Lake, AK",United States,58.10944444,-152.90666667
03A,Bear Creek Mining Strip,"Granite Mountain, AK",United States,65.54805556,-161.07166667
04A,Lik Mining Camp,"Lik, AK",United States,68.08333333,-163.16666667
05A,Little Squaw Airport,"Little Squaw, AK",United States,67.57000000,-148.18388889
06A,Kizhuyak Bay,"Kizhuyak, AK",United States,57.74527778,-152.88277778
07A,Klawock Seaplane Base,"Klawock, AK",United States,55.55472222,-133.10166667
08A,Elizabeth Island Airport,"Elizabeth Island, AK",United States,59.15694444,-151.82916667
09A,Augustin Island,"Homer, AK",United States,59.36277778,-153.43055556
1AK,Mertarvik Quarry Road Landing Strip,"Mertarvik, AK",United States,60.81833333,-164.51888889
1AK,Mertarvik Quarry Road Landing Strip,"Mertarvik, AK",United States,60.81833333,-164.51888889
1B1,Columbia County,"Hudson, NY",United States,42.28888889,-73.71027778
1B1,Columbia County,"Hudson, NY",United States,42.29138889,-73.71027778
1CA,Rio Vista Municipal,"Rio Vista, CA",United States,38.19333333,-121.70361111
1FL,NASA Shuttle Landing Facility,"Titusville, FL",United States,28.61500000,-80.69444444
1FL,Space Florida Launch Landing Facility,"Titusville, FL",United States,28.61500000,-80.69444444
1G4,Grand Canyon West,"Peach Springs, AZ",United States,35.98611111,-113.81694444
1G4,Grand Canyon West,"Peach Springs, AZ",United States,35.98611111,-113.81694444
1G4,Grand Canyon West,"Peach Springs, AZ",United States,35.99027778,-113.81638889
1G4,Grand Canyon West,"Peach Springs, AZ",United States,35.99027778,-113.81638889
1GA,Atlanta Speedway,"Hampton, GA",United States,33.39000000,-84.33111111
1GA,Henry County,"Hampton, GA",United States,33.39000000,-84.33111111
1N7,Blairstown Airport,"Blairstown, NJ",United States,40.97111111,-74.99750000
1NC,Halifax Northampton Regional,"Roanoke Rapids, NC",United States,36.43944444,-77.70944444
1NJ,Aeroflex Andover,"Andover, NJ",United States,41.00861110,-74.73805556
1NY,Penn Yan Airport,"Penn Yan, NY",United States,42.63694444,-77.05277778
1NY,Penn Yan Airport,"Penn Yan, NY",United States,42.63694444,-77.05277778
1NY,Penn Yan Airport,"Penn Yan, NY",United States,42.63722222,-77.05277778
1OH,Lake County Executive,"Willoughby, OH",United States,41.68416667,-81.38972222
1PA,Joseph A Hardy Connellsville,"Connellsville, PA",United States,39.95916667,-79.65750000
1TN,Beech River Regional,"Lexington Parsons, TN",United States,35.65638889,-88.19527778
1TX,Moore County,"Dumas, TX",United States,35.85750000,-102.01333333
1VA,Warrenton Fauquier,"Warrenton, VA",United States,38.58638889,-77.71055556
1WA,Deer Park Airport,"Deer Park, WA",United States,47.96694444,-117.42861111
2AK,Deer Park,"Deerpark, AK",United States,56.51972222,-134.67944444
2CA,Delano Municipal,"Delano, CA",United States,35.74555556,-119.23638889
2FL,North Palm Beach County Gen Aviation,"West Palm Beach, FL",United States,26.84583333,-80.22222222
2GA,Camilla Mitchell County,"Camilla, GA",United States,31.21305556,-84.23527778
2NC,Asheboro Regional,"Asheboro, NC",United States,35.65444444,-79.89472222
