Feb. 15 - Silver Spring, MD - The Fillmore Silver Spring
Feb. 16 - Raleigh, NC - The Ritz
Feb. 17 - Atlanta, GA - Heaven at The Masquerade
Feb. 18 - Orlando, FL - Hear
Feb. 20 - Fort Lauderdale, FL - Revolution Live
Feb. 21 - Pensacola, FL - Vinyl Music Hall
Feb. 23 - Houston, TX - House of Blues
Feb. 24 - Dallas, TX - South Side Ballroom
Feb. 25 - San Antonio, TX - Vibes Event Center
Feb. 27 - Tempe, AZ - The Marquee
Feb. 28 - San Diego, CA - Soma
Mar. 01 - Anaheim, CA - House of Blues
Mar. 02 - Sacramento, CA - Ace Of Spades
Mar. 04 - Portland, OR - Roseland Theater
Mar. 05 - Seattle, WA - Showbox Sodo
Mar. 07 - Salt Lake City, UT - The Complex
Mar. 08 - Las Vegas, NV - House of Blues
Mar. 10 - Denver, CO - Fillmore Auditorium
Mar. 12 - Little Rock, AR - The Hall
Mar. 13 - Nashville, TN - Marathon Music Works
Mar. 14 - Charlotte, NC - The Fillmore Charlotte
Apr. 13 - Philadelphia, PA - The Fillmore Philadelphia
Apr. 14 - New York, NY - Palladium Times Square
Apr. 15 - Albany, NY - Empire Live
Apr. 16 - Worcester, MA - The Palladium
Apr. 18 - Niagara Falls, NY - Rapids Theater
Apr. 19 - Royal Oak, MI - Royal Oak Music Theatre
Apr. 21 - Grand Rapids, MI - The Intersection
Apr. 22 - St. Louis, MO - Red Flag
Apr. 23 - Kansas City, MO - The Truman
Apr. 25 - Oklahoma City, OK - Diamond Ballroom
Apr. 26 - Omaha, NE - Slowdown
Apr. 28 - Minneapolis, MN - The Fillmore Minneapolis
Apr. 29 - Chicago, IL - Concord Music Hall
Apr. 30 - Cincinnati, OH - Bogarts
May 02 - Cleveland, OH - House of Blues
May 03 - Pittsburgh, PA - Stage AE
May 05 - North Myrtle Beach, SC - House of Blues
May 06 - Richmond, VA - The National
May 07 - Sayreville, NJ - Starland Ballroom
May 09 - Toronto, ON - Danforth Music Hall
May 11 - Montreal, QC - Mtelus
May 12 - Quebec, QC - Theatre Capitoles
